Description,Defender Example Generator,Attacker Example Generator,General Example Generator
"Normalcy bias: The refusal to plan for, or react to, a disaster which has never happened before.","""I don't think we need to worry about a cyber attack on this scale, it's never happened before, so it's unlikely to happen now.""","""I can't believe they haven't fixed that vulnerability yet, they must think a cyber attack could never happen to them.""","""I know the forecast is calling for a category 5 hurricane, but it's never hit here before, so I'm not going to evacuate or prepare, it's probably going to be fine."""
"Not invented here: Aversion to contact with or use of products, research, standards, or knowledge developed outside a group. Related to IKEA effect.","""I don't want to use that security solution, it's not developed in-house, I'm not comfortable relying on something that wasn't created by our own team.""","""I'll write my own code from scratch instead of using a known open-source library, because we want to prove that our company can do everything ourselves.""","""We don't need to look at other company's solutions, we can build our own from scratch even though it would take longer, cost more and may not be as good as the existing one, because it will be something of our own."""
Observer-expectancy effect: When a researcher expects a given result and therefore unconsciously manipulates an experiment or misinterprets data in order to find it (see also subject-expectancy effect).,"""I better double check my methodology, I don't want to fall into the observer-expectancy effect and unconsciously manipulate my cyber defense experiment results.""","""I'll make sure to present the security flaws in a way that aligns with the decision maker's expectations and biases, making it easier for them to accept and act on the findings.""","""I am convinced that this new drug will have a positive effect on patients, I will interpret any data or observations to prove that and disregard any findings that contradicts that belief."""
"Omission bias: The tendency to judge harmful actions (commissions) as worse, or less moral, than equally harmful inactions (omissions).","""I don't want to be the one responsible for disconnecting the firewall, even though it's the best solution, because not doing anything seems less harmful than taking action.""","""I believed that attacking the network was a more moral choice than choosing not to act, despite the fact that both options could have had equally harmful consequences.""","""I can't bring myself to actively euthanize this suffering animal, but I also can't bring myself to do anything to save it, so I'll just let it suffer until it eventually dies."""
"Optimism bias: The tendency to be over-optimistic, overestimating favorable and pleasing outcomes (see also wishful thinking, valence effect, positive outcome bias).","""I don't think the new software update will cause any problems, I'm sure everything will run smoothly.""","""I know the system has multiple layers of security, but I'm optimistic that with my skills I can find a way past them all.""","""I'm sure that this new business idea will be a huge success, I'm overlooking any potential challenges or risks and assuming that everything will go smoothly"""
Ostrich effect: Ignoring an obvious (negative) situation.,"""I don't want to think about the potential cyber attack right now, I'll just ignore it and hope it goes away.""","""I ignored warning signs and failed to take appropriate action when my attack was detected, choosing instead to continue with my plan in the hope of achieving my objectives.""","""I know my investments are losing value, but I'm just going to avoid looking at my portfolio, because I don't want to face the fact that I might be losing money."""
Outcome bias: The tendency to judge a decision by its eventual outcome instead of based on the quality of the decision at the time it was made.,"""We can't judge the security analyst's decision to not install the firewall update based on the outcome of the cyber attack, instead we need to look at the information and reasons they had at the time the decision was made.""","""I considered my cyber attack successful solely based on the eventual outcome of gaining access to the network, without considering the fact that my approach may have been flawed or less effective than other methods.""","""I know that I followed the right procedure and made the best decision at the time, but now that the outcome was bad, I consider it was a poor choice."""
"Overconfidence effect: Excessive confidence in one’s own answers to questions. For example, for certain types of questions, answers that people rate as “99% certain” turn out to be wrong 40% of the time.","""I am certain that this firewall configuration is foolproof, even though I haven't tested it against all possible threats.""","""I'm 100% sure this vulnerability will work, I don't need to double check it.""","""I am certain that my answer is correct, I don't even bother to double check my work, despite all the potential pitfalls that might lead to an error."""
"Pareidolia: A vague and random stimulus (often an image or sound) is perceived as significant, e.g., seeing images of animals or faces in clouds, the man in the moon, and hearing non-existent hidden messages on records played in reverse.","""I think I saw an image in this network traffic that looks like a face, but I must be imagining things.""","I'm sure that I'm seeing a back door in this code, even though others can't seem to find it, it's there.","""I can see a face in this random texture on this wall, even though it's just a random pattern of paint and plaster, I am certain that it's a sign from some higher power."""
"Pessimism bias: The tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative things happening to them.","""I just know that this new security update is going to cause more problems than it solves, nothing ever goes smoothly around here.""","""I'll never be able to get into this network, it's probably too secure and I'm bound to fail.""","""I know that statistically speaking, winning the lottery is extremely unlikely, but I just know that something bad is going to happen if I play, so I'll pass"""
Placebo effect: The belief that a medication works—even if merely a placebo.,"""I know this security software doesn't have the best reviews, but I still have faith in it because I've seen the placebo effect in action before and I believe it will work for me.""","""I can convince the target to install my malware by telling them it has a special security feature, even though it's just a placebo effect and the malware won't actually protect them.""","""I know this sugar pill has no active ingredient, but I have faith in the treatment, I can feel the improvement in my symptoms."""
Planning fallacy: The tendency to underestimate task-completion times.,"""I'll have this project finished in just a couple of days, it can't possibly take longer than that.""","""I'll just take a quick look at their security protocols, it shouldn't take more than a few minutes.""","""I'll just finish this report real quick, it shouldn't take more than an hour or two, even though similar tasks have taken me a full day in the past."""
Post-purchase rationalization: The tendency to persuade oneself through rational argument that a purchase was good value.,"""I know I spent more on this cyber defense system than I planned, but I've been reading about its features and I'm convinced it was the right decision for our network's protection.""","""I convinced myself that buying this high-end software was worth the money, because it will definitely improve my workflow and make me more productive.""","""I know I just spent a lot of money on this new car, but it's worth it because it has all the features I want and I needed a reliable car to get to work."""
"Pro-innovation bias: The tendency to have an excessive optimism towards an invention or innovation’s usefulness throughout society, while often failing to identify its limitations and weaknesses.","""I am convinced that this new technology will revolutionize the industry and make everyone's life better, despite the potential downsides and limitations that some experts have pointed out.""","""I know this new hacking tool will be a game-changer, it's just a matter of time before everyone is using it, and I'll be ahead of the curve.""","""This new technology will revolutionize the way we live, everyone will want it and it will solve all of our problems, even though we have not fully understood its implications yet."""
"Projection bias: The tendency to overestimate how much our future selves share one’s current preferences, thoughts and values, thus leading to sub-optimal choices.","""I'll install this new software now, even though I don't know much about it, because I'm sure I'll learn how to use it and love it in the future.""","""I'm sure I'll still love this new software next year, even if it has flaws now, because I love it now and I expect my preferences to remain the same.""","""I know that I'm not particularly fond of eating healthy now, but I'm sure that my future self will appreciate it, and I'll stick to my diet plan even though I don't enjoy it."""
"Pseudocertainty effect: The tendency to make risk-averse choices if the expected outcome is positive, but make risk-seeking choices to avoid negative outcomes.","""I'm reluctant to update our network security protocols, despite knowing that doing so would help avoid a potential data breach, as I'm overly confident in our current security measures and don't want to take unnecessary risks.""","""I'll choose the safer option in the network if it means a sure gain, but I'll take the riskier path if it means avoiding a loss.""","""I would never take a risky investment that could potentially yield a large return, but if it's a sure thing I'll put all my money into it, even if the returns are small."""
Reactance: The urge to do the opposite of what someone wants you to do out of a need to resist a perceived attempt to constrain your freedom of choice (see also Reverse psychology).,"""I don't want to install this new security update, even though it's recommended, because I don't want to feel like my freedom to use my device is being restricted.""","""I better not install that anti-virus software because it feels like someone is trying to limit my control over my own computer.""","""I know you're telling me to do this task, but I'm going to do the opposite just to prove that I am in control of my own actions."""
Reactive devaluation: Devaluing proposals only because they purportedly originated with an adversary.,"""This suggestion to improve our security measures came from our competitor, I don't trust it and won't even consider it.""","""I can't believe this idea is coming from the competitor, let's reject it without even considering the merits of the proposal.""","""I don't like this new idea, just because it came from my political rival, even if it would be beneficial to the organization."""
Recency illusion: The illusion that a phenomenon one has noticed only recently is itself recent. Often used to refer to linguistic phenomena; the illusion that a word or language usage that one has noticed only recently is an innovation when it is in fact long-established (see also frequency illusion).,"""I just heard this new term in a meeting, it must be a recent innovation in the cyber security field, let's implement it right away without researching its long-term effects or track record.""","""The attacker believes that the latest security patch that the target has installed is brand new, and thus, it will be easier to exploit the vulnerability that was not fixed in the patch.""","""I've been hearing this new slang term everywhere lately, I'm convinced it's something new and trendy, even though it's been around for many years."""
Regressive bias: A certain state of mind wherein high values and high likelihoods are overestimated while low values and low likelihoods are underestimated.,"""I'm overestimating the effectiveness of our current security measures, and underestimating the likelihood of a successful cyber attack, which could lead to devastating consequences.""","""As an attacker, I'll play on the victim's regressive bias and convince them that their security measures are stronger than they really are, making it easier for me to penetrate their network.""","""I am convinced that this stock will continue to grow, despite past performance and market trends indicating a potential decline, because it has been performing well recently."""
Restraint bias: The tendency to overestimate one’s ability to show restraint in the face of temptation.,"""I'm confident I won't give in to the temptation to click on that phishing email, even though it looks legitimate.""","""I won't fall for the attacker's trap, I have complete control over myself and can resist their temptations easily.""","""I'm sure that I will be able to resist the temptation of eating this whole cake, even though I know I shouldn't, I can't help myself in situations like this."""
"Rhyme as reason effect: Rhyming statements are perceived as more truthful. A famous example being used in the O.J Simpson trial with the defense’s use of the phrase “If the gloves don’t fit, then you must acquit.”","""If the cyber defense doesn't protect, then the attacker must neglect.""","""The attacker uses rhyming slogans in their phishing emails to make their false claims seem more trustworthy.""","""This product is top-notch, just give it a try,"
Risk compensation / Peltzman effect: The tendency to take greater risks when perceived safety increases.,"""I feel safer now that we have more firewalls and antivirus software, so I'm going to take some more risks with our network security and try out this new unproven software.""","""As the network's security measures increase, I'll take more risks to try and penetrate it, since I feel safer doing so.""","""Now that I am wearing a seatbelt, I feel safer and therefore I am more inclined to drive faster."""
"Selection bias: The tendency to notice something more when something causes us to be more aware of it, such as when we buy a car, we tend to notice similar cars more often than we did before. They are not suddenly more common – we just are noticing them more. Also called the Observational Selection Bias.","""I'm seeing more and more successful phishing attacks, but maybe it's just because I'm paying closer attention to them now.""","""I am exploiting the Selection Bias of the network administrators, as they are likely to only focus on the potential threats they're aware of and overlook the ones they're not.""","""I've never noticed how many people drive the same car as mine, until I got one myself."""
Selective perception: The tendency for expectations to affect perception.,"""I don't believe that cyber attack happened, my security software is top-notch, and it must be a false positive, after all, I don't want to believe that my system was breached.""","""The attacker exploits the victim's selective perception by sending phishing emails disguised as a trusted source, taking advantage of the victim's expectation and trust to infiltrate the network.""","""I know that she is a professional and capable of doing her job, but since she's a woman, I expect her to be less competent and more emotional, so I am interpreting her behavior and performance through that lens."""
Semmelweis reflex: The tendency to reject new evidence that contradicts a paradigm.,"""We've been using this same protocol for years, I don't see any reason to change it just because this new research suggests otherwise.""","""The attacker exploits the Semmelweis reflex by presenting false information to the system administrator that supports their pre-existing security beliefs, making them less likely to question or investigate a potential breach.""","""I know that washing hands before performing surgery drastically decreases the rate of infections, but I've always done it this way and it seems unnecessary to change, I reject the new evidence that contradicts my current practice."""
Sexual overperception bias / sexual underperception bias: The tendency to over-/underestimate sexual interest of another person in oneself.,"""I thought the intrusion into the network was just a simple hacking attempt, but it turned out to be a more sophisticated attack from a state-sponsored actor.""","""I never thought he was attracted to me, but now I see he was making advances the whole time.""","""I know that he/she's not showing any romantic interest in me, but I couldn't help but think that he/she is secretly attracted to me."""
"Social comparison bias: The tendency, when making decisions, to favour potential candidates who don’t compete with one’s own particular strengths.","""I'd rather choose this security vendor that specializes in a different area of cyber defense, since I don't want to feel threatened by their competition with my own skills.""","""I'll choose the target company that has a weak security system, instead of going for the one with a strong one, because I don't want to compete with their strengths in hacking.""","""I'm going to hire this new employee, even though they are not as qualified as the other candidate, because they don't pose a threat to my own position in the company."""
Social desirability bias: The tendency to over-report socially desirable characteristics or behaviours in oneself and under-report socially undesirable characteristics or behaviours.,"""I'm going to choose this software that has fewer features, because I don't want to come across as too technical or intimidate my colleagues.","""An attacker might use social desirability bias by pretending to be someone trustworthy and hide their malicious intentions to gain access to a network.""","""I'm sure I'm a good listener, even though I often find myself thinking about what I am going to say next instead of actively listening to others."""
"Status quo bias: The tendency to like things to stay relatively the same (see also loss aversion, endowment effect, and system justification).","""I don't want to change our current security measures, even though they may not be the most efficient, because it's better to stick with what we already know.""","""I'll stick with my current password, even though I know it's not the strongest, because the status quo is just easier for me.""","""I don't want to change things, even though the current system is not efficient, it's familiar and I'm used to it."""
Stereotyping: Expecting a member of a group to have certain characteristics without having actual information about that individual.,"""We can't just assume that the attacker is a male teenager because that's the stereotype for hackers, we need to gather more information to determine the true identity.""","""I expect this user is inexperienced and vulnerable to phishing attacks, because they have a generic email address ending in 'gmail.com'.""","""I know that not all Asians are good at math, but I expect this Asian student to be good at math because of the stereotype."
Subadditivity effect: The tendency to judge probability of the whole to be less than the probabilities of the parts.,"""I don't think this new system will be more secure than the sum of its individual components, I'll stick with what we already have.""","""As an attacker, I may underestimate the risk of my attack succeeding if I focus on individual parts of the system instead of considering the entire system as a whole.""","""I know that individually, each step has a high chance of success, but I am skeptical that the entire project will work out, the whole seems less likely than the sum of its parts."""
Subjective validation: Perception that something is true if a subject’s belief demands it to be true. Also assigns perceived connections between coincidences.,"""I believe this email is legitimate, because the sender's name and email address match what I expect and the message seems to be related to something I've been working on.""","""I believe this website is safe to enter because the URL has a green padlock symbol and my antivirus software says it's secure, even though I don't know the real source of the information.""","""I know that this horoscope is written in a way that applies to most people, but I believe it's true for me specifically because it resonates with my own beliefs and emotions."""
"Surrogation: Losing sight of the strategic construct that a measure is intended to represent, and subsequently acting as though the measure is the construct of interest.","""I'm just going to rely on this one metric to assess the network's security, even though it doesn't give a full picture of the situation.""","""The attacker is using surrogation to focus on exploiting vulnerabilities in the system's security measures, rather than considering the actual impact of a successful attack on the target.""","""I know that the customer satisfaction survey is just a measure of customer experience, but I'll treat it as the ultimate goal, and will focus on increasing the score rather than actually addressing the underlying issues that affect customer satisfaction."""
Survivorship bias: Concentrating on the people or things that “survived” some process and inadvertently overlooking those that didn’t because of their lack of visibility.,"""I'm only looking at the successful hack attempts that made it past our security measures, but I'm ignoring the ones that were stopped before they caused harm, leading me to underestimate the potential risks to our network.""","""As an attacker, I'll only focus on the successful hacks and ignore the ones that failed, because those didn't make it to the news or reports and are therefore not visible to me.""","""I'm going to model my career after this successful business person, ignoring all the other people who have failed in similar pursuits."""
Time-saving bias: Underestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively low speed and overestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively high speed.,"""I'll just spend a few extra minutes on this task now, it won't take too long and will save me time later on.""","""I'll just spend a few extra minutes on this task now, it won't take too long and will save me time later on.""","""I'll just add one more thing to this report, it won't take much time since I'm already working on it, even though it's taking me much longer than I had initially thought."""
Third-person effect: Belief that mass communicated media messages have a greater effect on others than on themselves.,"""I'm sure the phishing email won't work on me, but I bet it'll fool some of the less savvy users in the company.""","""I'm sure the phishing email won't work on me, but I bet it'll fool some of the less savvy users in the company.""","""I can't believe that these ads are so persuasive, they're making other people buy things they don't need, but they wouldn't have any effect on me."""
"Parkinson’s law of triviality: The tendency to give disproportionate weight to trivial issues. Also known as bikeshedding, this bias explains why an organization may avoid specialized or complex subjects, such as the design of a nuclear reactor, and instead focus on something easy to grasp or rewarding to the average participant, such as the design of an adjacent bike shed.","""I'll focus on the design of the bike shed instead of the nuclear reactor, it's a trivial issue that everyone can understand and feel good about contributing to.""","""I'll focus on the design of the bike shed instead of the nuclear reactor, it's a trivial issue that everyone can understand and feel good about contributing to.""","""I know that this meeting is supposed to be about the company's long-term strategic plan, but we are spending hours discussing the color of the walls in the kitchen, a trivial matter."""
"Unit bias: The standard suggested amount of consumption (e.g., food serving size) is perceived to be appropriate, and a person would consume it all even if it is too much for this particular person.","""I'll eat the whole serving of food, even though it's too much for me, because the suggested serving size seems like the right amount.""","""I'll eat the whole serving of food, even though it's too much for me, because the suggested serving size seems like the right amount.""","""I know that I am already full, but since the serving size is enough for 2 people, I will finish everything on my plate."""
Weber–Fechner law: Difficulty in comparing small differences in large quantities.,"""An attacker might exploit the Weber-Fechner law by disguising small changes in large amounts of code to avoid detection by the target's security team.""","""An attacker might exploit the Weber-Fechner law by disguising small changes in large amounts of code to avoid detection by the target's security team.""","""I know that the price difference between these two products is small, but it seems much more significant because the prices are so high."""
Well travelled road effect: Underestimation of the duration taken to traverse oft-traveled routes and overestimation of the duration taken to traverse less familiar routes.,"""I always underestimate how long it will take me to get home from work, but I always overestimate how long it will take me to get to a new place.""","""I always underestimate how long it will take me to get home from work, but I always overestimate how long it will take me to get to a new place.""","""I know that it usually takes me 20 minutes to get to work by car, but this new route is taking much longer than I expected, it's probably because I'm not as familiar with it."""
Women are wonderful effect: A tendency to associate more positive attributes with women than with men.,"""The attacker assumes that the female IT staff member is more likely to fall for social engineering tactics because they believe women are more trusting and naive.""","""The attacker assumes that the female IT staff member is more likely to fall for social engineering tactics because they believe women are more trusting and naive.""","""I know that both candidates are equally qualified for this job but I am more inclined to hire the female candidate, I assume that she will be more nurturing and better at multitasking."""
Zero-risk bias: Preference for reducing a small risk to zero over a greater reduction in a larger risk.,"""I'll only target small companies with weak security measures, even though they might not have valuable data, because the risk of getting caught is zero, unlike going after a big corporation with better security.""","""I'll only target small companies with weak security measures, even though they might not have valuable data, because the risk of getting caught is zero, unlike going after a big corporation with better security.""","""I am going to invest all my money in a government bond that has a low return, even though there are other investments that would yield a higher return, I know that they're also riskier but I want to reduce the risk to zero."""
"Zero-sum bias: A bias whereby a situation is incorrectly perceived to be like a zero-sum game (i.e., one person gains at the expense of another).","The attacker sees the network's security measures as a zero-sum game, where any advantage they gain must come at the expense of the network's defenses.","""The attacker sees the network's security measures as a zero-sum game, where any advantage they gain must come at the expense of the network's defenses.""","""I know that this situation isn't a zero-sum game, but I am acting as if it is, assuming that if my colleague succeeds, it will come at the expense of my own success."""
"Actor-observer bias: The tendency for explanations of other individuals’ behaviors to overemphasize the influence of their personality and underemphasize the influence of their situation (see also Fundamental attribution error), and for explanations of one’s own behaviors to do the opposite (that is, to overemphasize the influence of our situation and underemphasize the influence of our own personality).","""I'm blaming the victim's poor security measures, not my skills, for my successful hacking attempt into their system.""","""I'm blaming the victim's poor security measures, not my skills, for my successful hacking attempt into their system.""","""He's late again, he must be irresponsible, while I am late because of the traffic."""
Authority bias: The tendency to attribute greater accuracy to the opinion of an authority figure (unrelated to its content) and be more influenced by that opinion.,"The network administrator is a well-respected authority in the field, so I'll take their word for it and not bother double-checking their security measures.""","""The network administrator is a well-respected authority in the field, so I'll take their word for it and not bother double-checking their security measures.""","""I know that this person's opinion is not necessarily any more valid than mine, but since they have a certain title or position, I will trust their judgement more and follow their advice."""
Cheerleader effect: The tendency for people to appear more attractive in a group than in isolation.,"""The attacker might use the cheerleader effect by convincing the target that they are part of a group that supports the attacker's scam or attack, thus appearing more trustworthy and attractive to the target.""","""The attacker might use the cheerleader effect by convincing the target that they are part of a group that supports the attacker's scam or attack, thus appearing more trustworthy and attractive to the target.""","""I know that she's not necessarily good looking, but when she's hanging out with her attractive friends, she seems to be more attractive"""
Defensive attribution hypothesis: Attributing more blame to a harm-doer as the outcome becomes more severe or as personal or situational similarity to the victim increases.,"""The attacker is blaming the victim for not having proper security measures in place, claiming that they brought the attack on themselves, as they seem to have similar vulnerabilities as the attacker's previous targets.""","""The attacker is blaming the victim for not having proper security measures in place, claiming that they brought the attack on themselves, as they seem to have similar vulnerabilities as the attacker's previous targets.""","""I know that the accident was caused by a system failure, but I'm going to blame the operator for it, the severity of the accident make me assign more blame to the operator."""
Egocentric bias: Occurs when people claim more responsibility for themselves for the results of a joint action than an outside observer would credit them with.,"""I hacked into this system all by myself, I deserve all the credit for this successful breach, even though it was a team effort.""","""I hacked into this system all by myself, I deserve all the credit for this successful breach, even though it was a team effort.""","""I know that we all worked together to make this project successful, but I am going to take most of the credit for it, since I believe that my contribution was the most important."""
"Extrinsic incentives bias: An exception to the fundamental attribution error, when people view others as having (situational) extrinsic motivations and (dispositional) intrinsic motivations for oneself","""The attacker takes advantage of the extrinsic incentives bias by convincing the target that they are motivated by external rewards to divulge sensitive information, while they themselves are motivated by internal values to keep it secure.""","""The attacker takes advantage of the extrinsic incentives bias by convincing the target that they are motivated by external rewards to divulge sensitive information, while they themselves are motivated by internal values to keep it secure.""","""I know that I am working for the money, but I assume that the others are working for the love of the job."""
False consensus effect: The tendency for people to overestimate the degree to which others agree with them.,"""I am sure everyone else on this network would love to have this information, I just know it, because I'm sure they all think like me.""","""I am sure everyone else on this network would love to have this information, I just know it, because I'm sure they all think like me.""","""I know that this is just my opinion and not everyone thinks the same, but I believe that most people agree with me."""
"Forer effect (aka Barnum effect): The tendency to give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are in fact vague and general enough to apply to a wide range of people. For example, horoscopes.","""I can trick this person into believing my fake horoscope reading because they'll attribute high accuracy to the vague, general description due to the Forer effect.""","""I can trick this person into believing my fake horoscope reading because they'll attribute high accuracy to the vague, general description due to the Forer effect.""","""I know that this horoscope is written in a way that applies to most people, but I believe it's specifically true for me."""
Fundamental attribution error: The tendency for people to over-emphasize personality-based explanations for behaviors observed in others while under-emphasizing the role and power of situational influences on the same behavior,"""The attacker assumes the target's security choices are a result of their personality, ignoring the situational factors that might have led to those choices.""","""The attacker assumes the target's security choices are a result of their personality, ignoring the situational factors that might have led to those choices.""","""I know that the reason he's acting this way is because of the difficult situation he's going through, but I'm going to assume that it's because of his personality."""
"Group attribution error: The biased belief that the characteristics of an individual group member are reflective of the group as a whole or the tendency to assume that group decision outcomes reflect the preferences of group members, even when information is available that clearly suggests otherwise.","""The attacker takes advantage of the group attribution error by assuming that a specific weakness in one employee's security measures is representative of the entire company's security, leading to a successful attack.""","""I attributed the security vulnerabilities of the entire organization to the perceived lack of technical knowledge of one employee, without considering the possibility that other factors might be at play.""","""I know that the group has different opinions, but I'm going to assume that we all think the same way"""
Halo effect: The tendency for a person’s positive or negative traits to “spill over” from one personality area to another in others’ perceptions of them (see also physical attractiveness stereotype).,"""The attacker manipulates the target's perception of their trustworthiness by creating a positive image, making them more susceptible to follow their commands.""","""The attacker manipulates the target's perception of their trustworthiness by creating a positive image, making them more susceptible to follow their commands.""","""I know that this person might not be good at this task, but since they excel in other areas, I am going to assume they are good at this too."""
Illusion of asymmetric insight: People perceive their knowledge of their peers to surpass their peers’ knowledge of them.,"""I know everything about my target's network, but they have no idea what I know about them.""","""I know everything about my target's network, but they have no idea what I know about them.""","""I know that I have a lot of information about this person, but I don't think they know that much about me."""
"Illusion of external agency: When people view self-generated preferences as instead being caused by insightful, effective and benevolent agents.","""I think my target chose this password because it was recommended by a supposed security expert, but really I just planted the idea in their mind through social engineering.""","""I think my target chose this password because it was recommended by a supposed security expert, but really I just planted the idea in their mind through social engineering.""","""I know that this was my idea, but I am going to say that I got it from a book, a website or a friend, so it seems more valuable."""
"Illusion of transparency: People overestimate others’ ability to know them, and they also overestimate their ability to know others.","""I'm sure they don't know my intentions and motivations, they'll never suspect me even though I'm manipulating them into believing I'm on their side.""","""I'm sure they don't know my intentions and motivations, they'll never suspect me even though I'm manipulating them into believing I'm on their side.""","""I know that I am not that good at hiding my feelings, but I believe that nobody knows what I'm thinking."""
"Illusory superiority: Overestimating one’s desirable qualities, and underestimating undesirable qualities, relative to other people. (Also known as “Lake Wobegon effect”, “better-than-average effect”, or “superiority bias“.)","""The attacker overestimates their own hacking skills and underestimates their victims' security measures due to the illusory superiority bias.""","""The attacker overestimates their own hacking skills and underestimates their victims' security measures due to the illusory superiority bias.""","""I know that I am not better than the average person in this skill, but I am going to rate myself as above average."""
Ingroup bias: The tendency for people to give preferential treatment to others they perceive to be members of their own groups.,"""An attacker exploits the ingroup bias by posing as a member of a group the target identifies with, thus gaining their trust and cooperation.""","""An attacker exploits the ingroup bias by posing as a member of a group the target identifies with, thus gaining their trust and cooperation.""","""I know that this person is not more qualified for this task, but since they are part of my group, I am going to choose them."""
"Just-world hypothesis: The tendency for people to want to believe that the world is fundamentally just, causing them to rationalize an otherwise inexplicable injustice as deserved by the victim(s).","""The attacker exploits the victims' belief in the just-world hypothesis by making them believe that the negative consequences they are facing are a result of their own actions, rather than the attacker's malicious intentions.""","""The attacker exploits the victims' belief in the just-world hypothesis by making them believe that the negative consequences they are facing are a result of their own actions, rather than the attacker's malicious intentions.""","""I know that this person has gone through a lot of suffering, but I am going to believe that they deserved it."""
Moral luck: The tendency for people to ascribe greater or lesser moral standing based on the outcome of an event.,"""The attacker takes advantage of the victim's tendency to ascribe greater or lesser moral standing based on the outcome of a cyber attack, manipulating the perception of the incident to minimize their own responsibility.""","""The attacker takes advantage of the victim's tendency to ascribe greater or lesser moral standing based on the outcome of a cyber attack, manipulating the perception of the incident to minimize their own responsibility.""","""I know that this person made the same decision as I did, but since their outcome was better, I am going to say that they made the right decision."""
Naïve cynicism: Expecting more egocentric bias in others than in oneself.,"""An attacker takes advantage of a victim's assumption that they are more aware of bias in others than themselves by using egocentric behavior to manipulate them.""","""An attacker takes advantage of a victim's assumption that they are more aware of bias in others than themselves by using egocentric behavior to manipulate them.""","""I know that I have my own biases, but I am going to assume that others are more influenced by them."""
"Naïve realism: The belief that we see reality as it really is – objectively and without bias; that the facts are plain for all to see; that rational people will agree with us; and that those who don’t are either uninformed, lazy, irrational, or biased.","""The attacker exploits the naive realism of the target by presenting false information as the objective truth, leading the target to make decisions based on misinformation.""","""The attacker exploits the naive realism of the target by presenting false information as the objective truth, leading the target to make decisions based on misinformation.""","""I know that my perception of this event may be influenced by my own biases, but I am going to believe that my perception is the only right one."""
Outgroup homogeneity bias: Individuals see members of their own group as being relatively more varied than members of other groups.,"""The attacker uses the outgroup homogeneity bias to exploit the belief of the target that members of the attacker's group are all similar, leading the target to underestimate the range of potential threats.""","""The attacker uses the outgroup homogeneity bias to exploit the belief of the target that members of the attacker's group are all similar, leading the target to underestimate the range of potential threats.""","""I know that there are many different types of people in the group I am not a part of, but I am going to assume that they are all similar to each other."""
Self-serving bias: The tendency to claim more responsibility for successes than failures. It may also manifest itself as a tendency for people to evaluate ambiguous information in a way beneficial to their interests (see also group-serving bias).,"""A cyber attacker may exploit the self-serving bias by making victims believe that the security breach was their own fault, rather than the attacker's actions.""","""A cyber attacker may exploit the self-serving bias by making victims believe that the security breach was their own fault, rather than the attacker's actions.""","""I know that I played a small part in this success, but I am going to take credit for it as if it were entirely because of me."""
"Shared information bias: Known as the tendency for group members to spend more time and energy discussing information that all members are already familiar with (i.e., shared information), and less time and energy discussing information that only some members are aware of (i.e., unshared information).","""An attacker can use the shared information bias to manipulate a group into only considering information that supports their objectives, while downplaying information that may challenge or contradict those objectives.""","""An attacker can use the shared information bias to manipulate a group into only considering information that supports their objectives, while downplaying information that may challenge or contradict those objectives.""","""We've been discussing the budget for the project for an hour now, but we haven't even touched on the new market research that John presented."""
"System justification: The tendency to defend and bolster the status quo. Existing social, economic, and political arrangements tend to be preferred, and alternatives disparaged, sometimes even at the expense of individual and collective self-interest. (See also status quo bias.)","""The attacker takes advantage of the system justification bias by presenting their malicious intentions as being in line with the status quo, to gain the trust and cooperation of their target.""","""The attacker takes advantage of the system justification bias by presenting their malicious intentions as being in line with the status quo, to gain the trust and cooperation of their target.""","I can't believe the company wants to change the way we've been doing things for years, it just makes me want to defend the status quo even more."
"Trait ascription bias: The tendency for people to view themselves as relatively variable in terms of personality, behavior, and mood while viewing others as much more predictable.","""I'll target this network administrator because they seem like the type of person who wouldn't expect an attack and wouldn't have strong security measures in place, they're just too predictable.""","""An attacker might use the Trait ascription bias by assuming their target is predictable and manipulable based on their perceived personality traits, while seeing themselves as more adaptable and capable of changing tactics.""","""She always thought that her moods were changeable and different depending on the day, but she always saw her best friend as having a consistent personality."""
"Ultimate attribution error: Similar to the fundamental attribution error, in this error a person is likely to make an internal attribution to an entire group instead of the individuals within the group.","""I'm going to target this company because they're an entire group of incompetent people who are bound to have weak security measures.""","""An attacker might use the ultimate attribution error by painting a negative image of an entire group to push the target towards a desired outcome, instead of analyzing the actions of the individuals within the group.""","Bob is blaming all the Muslims in the country for the terrorist attacks, and not considering that it's just a small group of extremists."
Worse-than-average effect: A tendency to believe ourselves to be worse than others at tasks which are difficult.,"""I think this network is too complicated for me to penetrate, I bet even the best hackers would have trouble with it.""","""I avoided attempting to hack into a more challenging network, assuming that I would be less skilled at it than my peers and that my chances of success would be lower.""","I convinced myself that I am terrible at math, even though I have never taken a math class in my life."
Bizarreness effect: Bizarre material is better remembered than common material.,"""I'll make sure to use strange, unusual language in my phishing email, it's more likely to be remembered by the target.""","""I used a particularly unusual form of attack that deviated from the norm, knowing that the bizarre nature of the attack would make it more memorable and increase the likelihood that it would be successful in future attempts.""","""I remembered the giant chicken costume worn by the parade participant, but not the color of the floats"""
